Key,Korean,English
Constellation.Default0,기본0,Basic 0
Constellation.Default1,기본1,Basic 1
Constellation.Default2,기본2,Basic 2
Constellation.Default3,기본3,Basic 3
Constellation.Default4,기본4,Basic 4
Constellation.Default5,기본5,Basic 5
Constellation.Travler.Anemo0,회오리검의 끌어당기는 범위 20% 증가,Increasing 20% ​​Increase In Palm Vortex
Constellation.Travler.Anemo1,원소충전효율 20% 증가,20% Increase In Elemental Charging Efficiency
Constellation.Travler.Anemo2,격동의 바람 대미지 20% 증가,20% Increase In The Turbulent Gust Surge
Constellation.Travler.Anemo3,회오리검을 시전하는 동안 방어력이 2증가,2 Increase Armor While Casting A Palm Vortex
Constellation.Travler.Anemo4,회오리검 대미지 20% 증가,Palm Vortex Damage 20% Increase
Constellation.Travler.Anemo5,격동의 바람에 피격당한 적은 바람원소 내성 20% 감소,Reduced By 20% Reduction In Gust Surge
Constellation.Travler.Geo0,첩첩산중의 돌벽 안쪽에서 행운 3 증가,Lucky 3 Increased From The Side Of The Stone Walls In The Mt.
Constellation.Travler.Geo1,성운검이 사라질 때 생성시 피해와 동일한 피해를 줌,"When The Nebula Sword Disappears, The Damage Is The Same As The Damage"
Constellation.Travler.Geo2,첩첩산중 대미지 20% 증가,20% Increase In Damage In Spy Mountain
Constellation.Travler.Geo3,첩첩산중의 최대 원소 에너지 20 감소,Maximum Element Of Energy In The Mt.
Constellation.Travler.Geo4,성운검 대미지 20% 증가,20% Increase In Nebula Sword Damage
Constellation.Travler.Geo5,첩첩산중과 성운검의 지속시간 30% 증가,30% Increase In Duration Of Spy And Nebula Swords
Constellation.Amber0,일반공격의 개수가 1 증가,The Number Of General Attacks Increases By 1
Constellation.Amber1,폭탄인형의 대미지 20% 증가,20% Increase In Damage To Bomb Dolls
Constellation.Amber2,화살비 대미지 20% 증가,20% Increase In Arrows Damage
Constellation.Amber3,폭탄 인형의 쿨타임 50% 감소,50% Reduction In Cooldown Of Bomb Dolls
Constellation.Amber4,폭탄 인형의 대미지 20% 증가,20% Increase In Damage To Bomb Dolls
Constellation.Amber5,"화살비 발동 후 10초동안 이동속도 15%, 공격력 15% 증가",10 Seconds Of Movement Speed And 15% Increase
Constellation.Xiangling0,"누룽지의 공격에 피격된 적은 불원소 내성이 15% 감소, 지속 6초","Enemies Hit By Nurungji'S Attack Reduced 15%, 6 Seconds"
Constellation.Xiangling1,일반공격 대미지 20% 증가,20% Increase In General Attack Damage
Constellation.Xiangling2,화륜의 대미지 20% 증가,20% Increase In Damage To Fire Wheel
Constellation.Xiangling3,화륜의 지속시간 40% 증가,40% Increase In Duration Of Fire Wheel
Constellation.Xiangling4,누룽지 출격의 대미지 20% 증가,20% Increase In Damage To Nurungji Sortie
Constellation.Xiangling5,화륜의 지속시간 동안 불 원소 피해 15% 증가,15% Increase
Constellation.Bennet0,공격력 1 증가,1 Increase In Damage
Constellation.Bennet1,원소충전 효율 20% 상승,Elemental Charging Efficiency 20% Increase
Constellation.Bennet2,열정 과부하 대미지 20% 증가,20% Increase In Passion Overload Damage
Constellation.Bennet3,열정 과부하의 쿨타임 20% 감소,20% Reduction In Cooldown Under Enthusiasm
Constellation.Bennet4,아름다운 여정의 대미지 20% 증가,20% Increase In Damage To Beautiful Journey
Constellation.Bennet5,아름다운 여정 영영 내에 있는 물리피해 일반공격은 불 원소 부여 효과를 얻고 불원소 피해 15% 증가,General Attacks In Physical Damage In The Beautiful Journey Have A 15% Increase In Inconveniences And Inconsistent Damage.
Constellation.Diluc0,불원소 피해 15% 증가,15% Increase
Constellation.Diluc1,"공격력 20%증가, 공격속도 10% 증가","20% Increase In Damage, 10% Increase In Attack Speed"
Constellation.Diluc2,역날의 화염 대미지 20% 증가,20% Increase In Flame Damage On The Station Day
Constellation.Diluc3,역날의 화염 대미지 40% 증가,40% Increase In Flame Damage On The Back Day
Constellation.Diluc4,여명의 대미지 20% 증가,20% Increase In Damage To Dawn
Constellation.Diluc5,일반공격의 쿨타임이 20% 감소하고 피해 20% 증가,The Cooldown Of General Attacks Decreases By 20% And The Damage Is Increased By 20%
Constellation.Klee0,쾅쾅 불꽃의 개수가 1 증가,The Number Of Flames Increases By 1
Constellation.Klee1,통통 폭탄은 적의 방어력을 20% 감소 시킴. 지속시간 10초,Tomb Bombs Reduce The Enemy'S Defense By 20%. Duration 10 Seconds
Constellation.Klee2,통통폭탄의 대미지 20% 증가,20% Increase In Damage To Plump Bombs
Constellation.Klee3,쾅쾅 불꽃의 관통 1증가,1 Increase In Flame Penetration 1
Constellation.Klee4,쾅쾅불꽃의 대미지 20% 증가,20% Increase In Damage
Constellation.Klee5,"쾅쾅 불꽃 발동 시 3초마다 원소 에너지 3pt를 지속해서 회복, 불 원소 피해 보너스 20%증가. 지속시간 12초","When The Fireworks Are Triggered, The Element Energy 3Pt Continues To Recover Every 3 Seconds, Increasing 20%Of Non -Element Damage Bonuses. Duration 12 Seconds"
Constellation.Barbara0,10초마다 원소 에너지를 1pt 회복,Elemental Energy Is Recovered Every 10 Seconds
Constellation.Barbara1,"공연, 시작♪의 재사용 대기시간이 15% 감소","Performance, Starting ♪ Reuse Waiting Time Is Reduced By 15%"
Constellation.Barbara2,빛나는 기적♪의 회복량 20% 증가,Bright Miracle ♪ Increase 20% Increase
Constellation.Barbara3,원소충전 효율 20% 증가,20% Increase In Elemental Charging Efficiency
Constellation.Barbara4,"공연, 시작♪의 대미지 20% 증가","Performance, Starting ♪ Damage 20% Increase"
Constellation.Barbara5,부활 회수 1 증가,1 Increase In Resurrection
Constellation.Xingqiu0,우령검의 개수 1 증가,1 Increase In The Number Of Wu -Ryeong Sword
Constellation.Xingqiu1,"고화검 · 재우유홍의 지속시간 20% 증가, 적 피격 시 물 원소 내성 15% 감소, 지속시간 4초","Increased Duration Of High Pain Sword And Jae -Wu -Hong 20%, Reducing Water Resistance By 15%, Duration 4 Seconds"
Constellation.Xingqiu2,고화검 · 재우유홍의 대미지 20% 증가,20% Increase In Damage To High Pain Sword And Jae -Wu -Hong
Constellation.Xingqiu3,고화검 · 재우유홍의 효과가 지속되는 동안 고화검 · 화우농산으로 가하는 피해가 50% 증가한다.,"During The Effects Of High Painting Swords And Jaus Urong, The Damage Caused By High Painting Swords And Hwahwa Farming Increases By 50%."
Constellation.Xingqiu4,고화검 · 화우농산의 대미지 20% 증가,20% Increase In Damage To High Painting Swords And Hwawoo Agricultural Production
Constellation.Xingqiu5,"고화검 · 재우유홍 사용 시 원소 에너지 10 획득, 대미지 20% 증가","10% Of Element Energy Is Acquired When Used In High Painting Swords And Jaewokhongs, 20% Increase In Damage"
Constellation.Mona0,별의 운명의 내성감소 20% 증가,20% Increase In Resistance To The Fate Of Stars
Constellation.Mona1,일반공격의 대미지 20% 증가,20% Increase In Damage To General Attacks
Constellation.Mona2,별의 운명 대미지 20% 증가,20% Increase In Star Fate Damage
Constellation.Mona3,별의 운명의 내성감소 20% 증가,20% Increase In Resistance To The Fate Of Stars
Constellation.Mona4,수중 환원의 대미지 20% 증가,20% Increase In Damage To Underwater Reduction
Constellation.Mona5,이동 중일때 대미지 20% 증가,20% Increase In Damage When Moving
Constellation.Sucrose0,풍령 작성 · 육삼공팔의 쿨타임 20% 감소,"Pungryeong Preparation, 20% Reduction In Cooldown Of Six Samgong Arms"
Constellation.Sucrose1,금기 · 풍령 작성 · 칠오 동구 이형의 지속시간 20% 증가,"Contraindication, Pungryeong, · 20% Increase In Duration Of Dong -Gu, Chilo -Gu"
Constellation.Sucrose2,풍령 작성 · 육삼공팔의 대미지 20% 증가,"Pungryeong Preparation, Increased Damage Of Yuksamgong Arms By 20%"
Constellation.Sucrose3,풍령 작성 · 육삼공팔의 끌어당기는 범위와 속도 20% 증가,"Pungryeong, Drawing A Ranging Range And Speed By 20% Increase"
Constellation.Sucrose4,금기 · 풍령 작성 · 칠오 동구 이형의 대미지 20% 증가,"Contraindication, Pungryeong, · 20% Increase In Damage To Chilo Dong -Gu"
Constellation.Sucrose5,금기 · 풍령 작성 · 칠오 동구 이형이 원소 전환이 발생하면 대응하는 원소 피해 보너스를 20% 획득한다. 지속시간 10초,"If The Taboo, Pungryeong, Chilo Dong -Gu Is Transformed, The Corresponding Elemental Damage Bonus Is Obtained. Duration 10 Seconds"
Constellation.Jean0,풍압검의 크기 40% 증가,40% Increase In The Size Of Wind Pressure Sword
Constellation.Jean1,"일반공격 쿨타임 10% 감소, 이동속도 10% 증가","10% Reduction In General Attack Cooldown, 10% Increase In Movement Speed"
Constellation.Jean2,민들레 바람 대미지 20% 증가,20% Increase In Dandelion Wind Damage
Constellation.Jean3,민들레 바람 영역 내에서 모든 적의 바람 원소 내성 40% 감소,40% Reduction In Resistance To All Enemy Wind Elements Within The Dandelion Wind Area
Constellation.Jean4,풍압검 대미지 20% 증가,20% Increase In Damage Sword Damage
Constellation.Jean5,민들레 바람 영역 내에서 방어력 3 증가,3 Increase In Defense In The Dandelion Wind Area
Constellation.Venti0,일반공격의 개수가 2 증가,The Number Of General Attacks Increases By 2
Constellation.Venti1,높은 하늘의 노래는 적의 바람원소 내성과 물리 내성을 12% 감소시킨다,The High Sky Song Reduces The Enemy'S Wind Element Resistance And Physical Resistance By 12%.
Constellation.Venti2,바람신의 시 대미지 20% 증가,20% Increase In The Poem Damage Of Wind Gods
Constellation.Venti3,바람 원소 피해 20% 증가,20% Increase In Wind Elements
Constellation.Venti4,높은 하늘의 노래 대미지 20% 증가,20% Increase In Song Damage In High Sky
Constellation.Venti5,바람 신의  시에 피격된 적은 모든 원소 내성이 20% 감소,All Element Resistance Has Been Reduced By 20% Reduced Element Resistance In The Poem Of The Wind God
Constellation.Lisa0,원소 충전 효율 10% 증가,Elemental Charging Efficiency 10% Increase
Constellation.Lisa1,창뢰의 대미지 주기 0.1초 감소,Reduction Of 0.1 Seconds For Damage
Constellation.Lisa2,장미의 뇌광의 범위 20% 증가,Increase In The Range Of Brain Light Of Roses By 20%
Constellation.Lisa3,장미의 뇌광의 범위 40% 증가,40% Increase In The Range Of Brain Light Of Roses
Constellation.Lisa4,창뢰의 범위 20% 증가,20% Increase In The Range Of Creation
Constellation.Lisa5,창뢰의 범위 40% 증가,40% Increase In The Range Of Crowd
Constellation.Razor0,공격력 1 증가,1 Increase In Damage
Constellation.Razor1,행운이 1 증가,Luck 1 Increase
Constellation.Razor2,뇌아의 대미지 20% 증가,20% Increase In Damage To Brain Child
Constellation.Razor3,날카로운 발톱과 창뢰에 맞은 적은 방어력이 2 감소한다. 지속 7초,The Enemy'S Defense Is Reduced By 2 Red Claws And Crowds. 7 Seconds
Constellation.Razor4,날카로운 발톱과 창뢰의 대미지 20% 증가,20% Increase In Damage To Sharp Claws And Crisis
Constellation.Razor5,뇌아의 최대 원소 게이지 20 감소,20 Decrease In The Maximum Element Gauge Of Brain
Constellation.Beidou0,작뢰의 최대 원소게이지 20 감소,Maximum Elemental Gauge Decrease In The Work
Constellation.Beidou1,작뢰의 대미지 20% 증가,20% Increase In Damage
Constellation.Beidou2,파도잡이의 대미지 20% 증가,20% Increase In Damage To Waves
Constellation.Beidou3,작뢰의 대미지 20% 증가,20% Increase In Damage
Constellation.Beidou4,작뢰의 대미지 20% 증가,20% Increase In Damage
Constellation.Beidou5,작뢰가 지속되는 동안 번개 원소 피해 20% 증가,Lightning Element Damage Increases By 20% While The Work Continues
Constellation.Fischl0,일반공격의 대미지 20% 증가,20% Increase In Damage To General Attacks
Constellation.Fischl1,밤을 순찰하는 그림자 날개의 관통 1 증가,1 Increase In Shadow Wings That Patrol The Night
Constellation.Fischl2,밤을 순찰하는 그림자 날개의 대미지 20% 증가,20% Increase In Damage To Shadow Wings That Patrol The Night
Constellation.Fischl3,"암야의 환상 발동 시 HP 20% 회복, 암야의 환상 범위 50% 증가","Hp 20% Recovery When It Is Fantastically Triggered By Dark Night, And 50% Increase In Illusions In The Night"
Constellation.Fischl4,암야의 환상 대미지 20% 증가,20% Increase In Fantasy Damage In Dark Night
